RANK_DOUBLON;CODE_COMMUNE;ID_BASE_EXTERNE;CODE_IDENTIFIANT_EXTERNE;NOM_COMMUNE;NOMENCL_INSEE;NOMENCL_DEPARTEMENT;NOMENCL_REGION_INSEE;CODE_PAYS;CODE_BASSIN;CODE_CANTON;CODE_POSTAL;PLUS_UTILISE
0;1354;;;HAULCHIN;59288;59;32;1;;614;59121;0
0;385;;;HAUSSIMONT;51285;51;44;1;;1476;51320;0
0;1804;;;HAUT DU THEM CHATEAU LAMBERT;70283;70;27;1;;1319;70440;0
0;386;;;HAUT LIEU;59290;59;32;1;;977;59440;0
0;3617;;;HAUT LOQUIN;62419;62;32;1;;340;62850;0
0;3213;;;HAUTBOS;60303;60;32;1;;152;60210;0
0;387;;;HAUTE AVESNES;62415;62;32;1;;1516;62144;0
0;1302;;;HAUTE GOULAINE;44071;44;52;1;;911;44115;0
0;2322;;;HAUTECLOQUE;62416;62;32;1;;1209;62130;0
0;940;;;HAUTEFONTAINE;60305;60;32;1;;1787;60350;0
0;1995;;;HAUTEVESNES;2375;2;32;1;;1404;2810;0
0;388;;;HAUTMONT;59291;59;32;1;;977;59330;0
0;389;;;HAUTVILLERS OUVILLE;80422;80;32;1;;1559;80132;0
0;1803;;;HAVELUY;59292;59;32;1;;614;59255;0
0;1017;;;HAVERNAS;80423;80;32;1;;1487;80670;0
0;3300;;;HAYNECOURT;59294;59;32;1;;1911;59268;0
0;390;;;HAZEBROUCK;59295;59;32;1;;118;59190;0
0;391;;;HEBECOURT;80424;80;32;1;;52;80680;0
0;392;;;HEILLECOURT;54257;54;44;1;;1625;54180;0
0;393;;;HEILLES;60307;60;32;1;;1129;60250;0
0;1307;;;HELESMES;59297;59;32;1;;68;59171;0
0;3409;;;HELFAUT;62423;62;32;1;;696;62570;0
0;394;;;HEM;59299;59;32;1;;1397;59510;0
0;2852;;;HEM LENGLET;59300;59;32;1;;1911;59247;0
0;1528;;;HEMEVILLERS;60308;60;32;1;;512;60190;0
0;2638;;;HENDECOURT LES CAGNICOURT;62424;62;32;1;;1942;62182;0
0;2983;;;HENENCOURT;80429;80;32;1;;1399;80300;0
0;395;;;HENIN BEAUMONT;62427;62;32;1;;;62110;0
0;2401;;;HENNEVEUX;62429;62;32;1;;1006;62142;0
0;2881;;;HENON;22079;22;53;1;;1956;22150;0
0;396;;;HENONVILLE;60309;60;32;1;;703;60119;0
0;2362;;;HENU;62430;62;32;1;;1516;62760;0
0;397;;;HERBLAY;95306;95;11;1;;1267;95220;0
0;3474;;;HERBLAY SUR SEINE;95306;95;11;1;;;95220;0
0;2435;;;HERGNIES;59301;59;32;1;;925;59199;0
0;398;;;HERIN;59302;59;32;1;;614;59195;0
0;1829;;;HERISSART;80431;80;32;1;;931;80260;0
0;3515;;;HERLEVILLE;80432;80;32;1;;;80340;0
0;1418;;;HERLIES;59303;59;32;1;;8;59134;0
0;2327;;;HERLIN LE SEC;62436;62;32;1;;1209;62130;0
0;2769;;;HERMAVILLE;62438;62;32;1;;1516;62690;0
0;3582;;;HERMELINGHEN;62439;62;32;1;;;62132;0
0;399;;;HERMES;60313;60;32;1;;1129;60370;0
0;400;;;HERMIES;62440;62;32;1;;380;62147;0
0;3129;;;HERNICOURT;62442;62;32;1;;1209;62130;0
0;401;;;HEROUVILLE ST CLAIR;14327;14;28;1;;768;14200;0
0;1332;;;HERRIN;59304;59;32;1;;1652;59147;0
0;1794;;;HERSIN COUPIGNY;62443;62;32;1;;232;62530;0
0;1664;;;HERZEELE;59305;59;32;1;;476;59470;0
0;2580;;;HESCAMPS;80436;80;32;1;;575;80290;0
0;2440;;;HESDIGNEUL LES BETHUNE;62445;62;32;1;;232;62196;0
0;2262;;;HESDIGNEUL LES BOULOGNE;62446;62;32;1;;1317;62360;0
0;402;;;HESDIN;62447;62;32;1;;1149;62140;0
0;403;;;HESDIN L ABBE;62448;62;32;1;;1317;62360;0
0;2374;;;HESINGUE;68135;68;44;1;;1758;68220;0
